<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.05	17:00:00	2514.89	2520.49	2507.58	2508.67	18277	0	28
2024.09.05	18:00:00	2508.67	2510.90	2503.86	2507.05	12109	0	28
2024.09.05	19:00:00	2507.06	2511.47	2506.03	2510.31	6787	0	28
2024.09.05	20:00:00	2510.32	2515.33	2509.25	2515.05	5739	0	28
2024.09.05	21:00:00	2515.05	2516.75	2514.70	2515.49	3770	0	28
2024.09.05	22:00:00	2515.48	2515.97	2513.58	2514.78	3879	0	28
2024.09.05	23:00:00	2514.79	2516.77	2514.75	2516.42	1716	0	28
2024.09.06	01:00:00	2516.61	2516.80	2515.58	2516.07	1006	0	28
2024.09.06	02:00:00	2516.07	2517.85	2516.04	2517.17	2068	0	28
2024.09.06	03:00:00	2517.22	2517.59	2515.53	2515.83	2921	0	28
2024.09.06	04:00:00	2515.83	2516.58	2513.43	2513.74	5405	0	28
2024.09.06	05:00:00	2513.70	2517.96	2512.93	2517.67	4621	0	28
2024.09.06	06:00:00	2517.67	2518.29	2516.86	2518.16	3314	0	28
2024.09.06	07:00:00	2518.16	2519.39	2517.67	2518.33	2543	0	28
2024.09.06	08:00:00	2518.34	2521.75	2518.33	2519.98	4566	0	28
2024.09.06	09:00:00	2519.98	2521.29	2516.56	2519.14	7891	0	28
2024.09.06	10:00:00	2519.11	2519.83	2516.39	2516.43	6898	0	28
2024.09.06	11:00:00	2516.42	2518.18	2515.44	2517.79	5415	0	28
2024.09.06	12:00:00	2517.78	2519.82	2516.30	2519.15	4704	0	28
2024.09.06	13:00:00	2519.11	2519.76	2517.18	2518.88	4665	0	28
2024.09.06	14:00:00	2518.88	2520.23	2514.64	2516.21	6038	0	28
2024.09.06	15:00:00	2516.19	2529.06	2507.69	2522.16	17491	0	28
2024.09.06	16:00:00	2522.22	2522.94	2502.27	2509.30	22944	0	28
2024.09.06	17:00:00	2509.32	2515.53	2500.42	2506.68	21198	0	28
2024.09.06	18:00:00	2506.68	2518.36	2503.60	2505.50	20399	0	28
2024.09.06	19:00:00	2505.42	2505.68	2485.09	2489.02	17053	0	28
2024.09.06	20:00:00	2489.00	2496.91	2485.90	2495.45	12170	0	28
2024.09.06	21:00:00	2495.46	2496.72	2491.97	2494.62	7300	0	28
2024.09.06	22:00:00	2494.50	2496.76	2490.59	2495.81	6883	0	28
2024.09.06	23:00:00	2495.81	2497.77	2494.67	2497.10	2644	0	28
2024.09.09	01:00:00	2497.51	2497.90	2496.07	2497.77	2304	0	28
2024.09.09	02:00:00	2497.79	2498.18	2495.51	2496.80	3426	0	28
2024.09.09	03:00:00	2496.80	2498.17	2495.56	2495.87	5399	0	28
2024.09.09	04:00:00	2495.88	2498.55	2494.63	2497.58	11819	0	28
2024.09.09	05:00:00	2497.58	2499.07	2496.89	2497.11	6328	0	28
2024.09.09	06:00:00	2497.15	2500.35	2496.67	2499.20	4540	0	28
2024.09.09	07:00:00	2499.20	2499.33	2497.43	2498.16	4259	0	28
2024.09.09	08:00:00	2498.16	2498.25	2487.42	2487.85	8938	0	28
2024.09.09	09:00:00	2487.85	2493.55	2485.49	2489.73	12451	0	28
2024.09.09	10:00:00	2489.72	2496.62	2488.82	2494.12	12230	0	28
2024.09.09	11:00:00	2494.14	2495.54	2489.98	2492.14	9921	0	28
2024.09.09	12:00:00	2492.14	2497.53	2492.02	2496.31	6746	0	28
2024.09.09	13:00:00	2496.35	2499.06	2493.02	2494.33	6859	0	28
2024.09.09	14:00:00	2494.34	2498.83	2493.29	2497.11	5823	0	28
2024.09.09	15:00:00	2497.14	2504.04	2496.25	2500.83	10365	0	28
2024.09.09	16:00:00	2500.81	2505.17	2499.26	2499.68	12659	0	28
2024.09.09	17:00:00	2499.70	2501.09	2493.19	2496.80	12990	0	28
2024.09.09	18:00:00	2496.81	2499.44	2493.53	2499.04	9354	0	28
2024.09.09	19:00:00	2499.05	2505.17	2499.05	2504.27	6196	0	28
2024.09.09	20:00:00	2504.27	2506.46	2499.34	2499.89	6657	0	28
2024.09.09	21:00:00	2499.89	2505.20	2499.40	2504.65	4860	0	28
2024.09.09	22:00:00	2504.64	2506.00	2502.56	2505.91	4589	0	28
2024.09.09	23:00:00	2505.91	2507.06	2505.15	2506.02	2463	0	28
2024.09.10	01:00:00	2506.10	2507.06	2505.78	2506.95	1065	0	28
2024.09.10	02:00:00	2506.94	2507.55	2505.63	2506.67	1816	0	28
2024.09.10	03:00:00	2506.66	2507.37	2504.74	2505.31	4738	0	28
2024.09.10	04:00:00	2505.40	2506.76	2502.80	2503.75	9115	0	28
2024.09.10	05:00:00	2503.75	2503.91	2501.69	2502.94	5514	0	28
2024.09.10	06:00:00	2502.92	2504.28	2501.38	2502.52	4856	0	28
2024.09.10	07:00:00	2502.49	2502.78	2500.97	2501.68	2826	0	28
2024.09.10	08:00:00	2501.69	2504.85	2500.71	2503.78	5878	0	28
2024.09.10	09:00:00	2503.78	2506.49	2503.27	2505.00	8074	0	28
2024.09.10	10:00:00	2504.99	2507.59	2502.05	2502.70	7265	0	28
2024.09.10	11:00:00	2502.69	2503.08	2500.08	2502.24	7234	0	28
2024.09.10	12:00:00	2502.23	2505.93	2500.11	2505.93	7506	0	28
2024.09.10	13:00:00	2505.94	2509.55	2505.06	2505.57	7537	0	28
2024.09.10	14:00:00	2505.56	2507.09	2504.15	2504.56	6063	0	28
2024.09.10	15:00:00	2504.46	2513.96	2504.40	2513.73	9352	0	28
2024.09.10	16:00:00	2513.73	2515.26	2506.19	2506.73	14234	0	28
2024.09.10	17:00:00	2506.70	2509.17	2500.80	2509.01	15510	0	28
2024.09.10	18:00:00	2509.01	2518.31	2508.18	2512.47	10848	0	28
2024.09.10	19:00:00	2512.55	2515.45	2510.60	2514.29	7595	0	28
2024.09.10	20:00:00	2514.30	2515.59	2512.78	2513.06	5563	0	28
2024.09.10	21:00:00	2513.06	2516.51	2512.00	2516.24	5216	0	28
2024.09.10	22:00:00	2516.25	2517.37	2514.01	2517.15	5764	0	28
2024.09.10	23:00:00	2517.15	2517.32	2515.65	2516.28	2199	0	28
2024.09.11	01:00:00	2516.42	2517.02	2516.10	2516.38	861	0	28
2024.09.11	02:00:00	2516.42	2518.71	2516.29	2518.60	2101	0	28
2024.09.11	03:00:00	2518.59	2519.02	2516.11	2516.53	4334	0	28
2024.09.11	04:00:00	2516.53	2522.47	2514.90	2518.67	10218	0	28
2024.09.11	05:00:00	2518.67	2520.29	2517.52	2518.67	7192	0	28
2024.09.11	06:00:00	2518.69	2519.90	2516.75	2519.32	5873	0	28
2024.09.11	07:00:00	2519.33	2520.11	2518.52	2519.53	4405	0	28
2024.09.11	08:00:00	2519.52	2522.37	2519.29	2521.19	7723	0	28
2024.09.11	09:00:00	2521.19	2528.94	2520.80	2526.51	11366	0	28
2024.09.11	10:00:00	2526.50	2527.64	2520.71	2521.39	7520	0	28
2024.09.11	11:00:00	2521.40	2527.11	2520.61	2524.23	7068	0	28
2024.09.11	12:00:00	2524.23	2524.62	2521.92	2523.17	4754	0	28
2024.09.11	13:00:00	2523.16	2523.24	2519.74	2521.64	6264	0	28
2024.09.11	14:00:00	2521.64	2524.08	2520.65	2522.14	6286	0	28
2024.09.11	15:00:00	2522.08	2523.30	2502.20	2508.12	17531	0	28
2024.09.11	16:00:00	2508.14	2512.84	2503.12	2509.54	20804	0	28
2024.09.11	17:00:00	2509.44	2510.33	2500.91	2509.38	19847	0	28
2024.09.11	18:00:00	2509.39	2514.84	2508.65	2514.72	13065	0	28
2024.09.11	19:00:00	2514.71	2519.91	2513.64	2515.09	9275	0	28
2024.09.11	20:00:00	2515.09	2516.79	2512.32	2514.59	8188	0	28
2024.09.11	21:00:00	2514.60	2516.27	2511.17	2511.41	6419	0	28
2024.09.11	22:00:00	2511.41	2513.18	2509.71	2512.90	5194	0	28
2024.09.11	23:00:00	2512.90	2513.79	2511.09	2511.36	2397	0	28
2024.09.12	01:00:00	2511.85	2513.78	2511.84	2512.81	1116	0	28
2024.09.12	02:00:00	2512.81	2512.99	2511.75	2511.85	1601	0	28
2024.09.12	03:00:00	2511.85	2512.34	2511.03	2512.13	3702	0	28
2024.09.12	04:00:00	2512.11	2515.13	2511.62	2513.07	8706	0	28
2024.09.12	05:00:00	2513.07	2514.03	2510.95	2512.15	6939	0	28
2024.09.12	06:00:00	2512.17	2515.99	2512.12	2515.77	4325	0	28
2024.09.12	07:00:00	2515.77	2517.65	2515.51	2516.94	2872	0	28
2024.09.12	08:00:00	2516.99	2519.62	2516.95	2519.38	5448	0	28
2024.09.12	09:00:00	2519.37	2522.19	2516.66	2516.81	7616	0	28
2024.09.12	10:00:00	2516.85	2517.67	2514.38	2515.82	6819	0	28
2024.09.12	11:00:00	2515.81	2519.21	2515.03	2517.30	6567	0	28
2024.09.12	12:00:00	2517.29	2519.10	2516.33	2518.73	4701	0	28
2024.09.12	13:00:00	2518.74	2520.93	2513.13	2513.15	6241	0	28
2024.09.12	14:00:00	2513.14	2520.24	2512.95	2519.44	7688	0	28
2024.09.12	15:00:00	2519.45	2535.18	2518.79	2528.76	16039	0	28
2024.09.12	16:00:00	2528.75	2551.58	2522.18	2545.43	22929	0	28
2024.09.12	17:00:00	2545.42	2554.65	2541.75	2553.30	18931	0	28
2024.09.12	18:00:00	2553.32	2554.99	2548.77	2553.19	12893	0	28
2024.09.12	19:00:00	2553.16	2553.57	2544.76	2550.59	10997	0	28
2024.09.12	20:00:00	2550.59	2554.70	2550.01	2553.93	10034	0	28
2024.09.12	21:00:00	2553.92	2558.67	2551.94	2555.79	9109	0	28
2024.09.12	22:00:00	2555.77	2558.96	2554.48	2557.81	8192	0	28
2024.09.12	23:00:00	2557.80	2559.97	2556.62	2558.31	4051	0	28
2024.09.13	01:00:00	2558.59	2559.43	2557.13	2557.36	2085	0	28
2024.09.13	02:00:00	2557.35	2558.53	2556.57	2558.40	2782	0	28
2024.09.13	03:00:00	2558.40	2562.67	2556.72	2561.50	6515	0	28
2024.09.13	04:00:00	2561.51	2567.92	2559.88	2563.12	11978	0	28
2024.09.13	05:00:00	2563.13	2565.52	2561.51	2565.28	7014	0	28
2024.09.13	06:00:00	2565.27	2569.95	2564.54	2567.87	7149	0	28
2024.09.13	07:00:00	2567.89	2570.05	2566.60	2568.74	4086	0	28
2024.09.13	08:00:00	2568.73	2570.17	2565.90	2566.48	7951	0	28
2024.09.13	09:00:00	2566.46	2568.70	2563.05	2567.03	11497	0	28
2024.09.13	10:00:00	2567.06	2570.94	2563.84	2569.69	9807	0	28
2024.09.13	11:00:00	2569.69	2570.83	2565.62	2569.88	8579	0	28
2024.09.13	12:00:00	2569.76	2572.84	2566.95	2568.46	8587	0	28
2024.09.13	13:00:00	2568.48	2569.26	2565.58	2566.97	7287	0	28
2024.09.13	14:00:00	2566.97	2568.20	2563.59	2567.27	7348	0	28
2024.09.13	15:00:00	2567.32	2575.79	2566.00	2575.72	10134	0	28
2024.09.13	16:00:00	2575.72	2583.30	2573.37	2577.98	16002	0	28
2024.09.13	17:00:00	2577.97	2580.13	2573.06	2578.27	15720	0	28
2024.09.13	18:00:00	2578.28	2582.38	2573.64	2582.15	12325	0	28
2024.09.13	19:00:00	2582.14	2585.05	2580.02	2584.24	8949	0	28
2024.09.13	20:00:00	2584.22	2585.96	2581.41	2582.59	8123	0	28
2024.09.13	21:00:00	2582.58	2583.79	2580.62	2582.26	7011	0	28
2024.09.13	22:00:00	2582.26	2582.85	2578.59	2582.54	5110	0	28
2024.09.13	23:00:00	2582.55	2582.78	2577.53	2578.61	2365	0	28
2024.09.16	01:00:00	2579.09	2580.51	2577.55	2579.97	2797	0	28
2024.09.16	02:00:00	2580.05	2580.24	2578.19	2579.14	2828	0	28
2024.09.16	03:00:00	2579.14	2582.27	2578.81	2581.26	2792	0	28
2024.09.16	04:00:00	2581.26	2582.77	2579.81	2581.65	3322	0	28
2024.09.16	05:00:00	2581.63	2585.85	2581.43	2585.31	4004	0	28
2024.09.16	06:00:00	2585.31	2588.87	2583.76	2586.27	4510	0	28
2024.09.16	07:00:00	2586.28	2586.65	2584.87	2585.72	2565	0	28
2024.09.16	08:00:00	2585.72	2589.37	2585.38	2588.62	3393	0	28
2024.09.16	09:00:00	2588.64	2589.56	2585.08	2585.21	7061	0	28
2024.09.16	10:00:00	2585.23	2585.50	2579.48	2582.07	9460	0	28
2024.09.16	11:00:00	2582.04	2588.41	2581.33	2586.75	8582	0	28
2024.09.16	12:00:00	2586.77	2588.18	2584.13	2585.50	6779	0	28
2024.09.16	13:00:00	2585.50	2586.31	2575.20	2579.72	7146	0	28
2024.09.16	14:00:00	2579.74	2583.11	2578.65	2582.93	5918	0	28
2024.09.16	15:00:00	2582.96	2583.44	2578.44	2583.32	10133	0	28
2024.09.16	16:00:00	2583.32	2589.25	2581.15	2588.12	12817	0	28
2024.09.16	17:00:00	2588.16	2588.42	2576.05	2580.17	13962	0	28
2024.09.16	18:00:00	2580.16	2581.85	2577.68	2579.87	9286	0	28
2024.09.16	19:00:00	2579.87	2583.95	2579.48	2583.58	6982	0	28
2024.09.16	20:00:00	2583.57	2584.04	2579.82	2582.52	5632	0	28
2024.09.16	21:00:00	2582.53	2582.76	2580.14	2580.95	4321	0	28
2024.09.16	22:00:00	2580.95	2583.15	2579.54	2582.46	3462	0	28
2024.09.16	23:00:00	2582.48	2583.38	2581.77	2582.14	2095	0	28
2024.09.17	01:00:00	2582.29	2583.46	2582.09	2582.81	1061	0	28
2024.09.17	02:00:00	2582.91	2583.85	2582.09	2583.63	1716	0	28
2024.09.17	03:00:00	2583.63	2584.31	2580.16	2580.17	3502	0	28
2024.09.17	04:00:00	2580.17	2582.65	2578.30	2582.50	4683	0	28
2024.09.17	05:00:00	2582.51	2586.21	2580.92	2581.47	4653	0	28
2024.09.17	06:00:00	2581.47	2581.47	2576.71	2577.11	4944	0	28
2024.09.17	07:00:00	2577.10	2579.09	2574.86	2576.84	3662	0	28
2024.09.17	08:00:00	2576.84	2579.46	2574.49	2579.29	3703	0	28
2024.09.17	09:00:00	2579.31	2586.83	2579.29	2584.28	8570	0	28
2024.09.17	10:00:00	2584.27	2585.57	2582.63	2583.75	6376	0	28
2024.09.17	11:00:00	2583.74	2584.07	2577.56	2580.04	7925	0	28
2024.09.17	12:00:00	2580.03	2580.04	2571.59	2573.55	8199	0	28
2024.09.17	13:00:00	2573.52	2576.02	2569.73	2572.94	7122	0	28
2024.09.17	14:00:00	2573.00	2581.60	2572.12	2579.72	8050	0	28
2024.09.17	15:00:00	2579.75	2581.54	2568.33	2577.70	14688	0	28
2024.09.17	16:00:00	2577.90	2579.40	2573.09	2573.62	15787	0	28
2024.09.17	17:00:00	2573.61	2582.12	2571.69	2576.37	13233	0	28
2024.09.17	18:00:00	2576.41	2577.03	2561.72	2565.46	12287	0	28
2024.09.17	19:00:00	2565.47	2566.52	2561.36	2563.03	9320	0	28
2024.09.17	20:00:00	2563.04	2570.39	2560.71	2569.84	8916	0	28
2024.09.17	21:00:00	2569.85	2571.59	2568.62	2570.06	5833	0	28
2024.09.17	22:00:00	2570.05	2571.07	2566.92	2568.56	5544	0	28
2024.09.17	23:00:00	2568.63	2570.13	2568.26	2569.01	2160	0	28
2024.09.18	01:00:00	2569.41	2571.31	2569.19	2570.67	1349	0	28
2024.09.18	02:00:00	2570.67	2574.29	2570.63	2573.94	2354	0	28
2024.09.18	03:00:00	2573.93	2574.73	2571.41	2572.94	3643	0	28
2024.09.18	04:00:00	2572.98	2576.35	2571.56	2572.16	10365	0	28
2024.09.18	05:00:00	2572.16	2574.05	2569.95	2573.71	6088	0	28
2024.09.18	06:00:00	2573.70	2576.36	2572.68	2575.83	5329	0	28
2024.09.18	07:00:00	2575.83	2576.34	2567.92	2568.58	4526	0	28
2024.09.18	08:00:00	2568.58	2569.14	2565.67	2567.63	6489	0	28
2024.09.18	09:00:00	2567.63	2569.94	2566.60	2568.99	7792	0	28
2024.09.18	10:00:00	2569.01	2571.90	2568.62	2571.49	6993	0	28
2024.09.18	11:00:00	2571.49	2571.88	2568.20	2569.68	5560	0	28
2024.09.18	12:00:00	2569.69	2571.87	2567.88	2571.87	5726	0	28
